Country,iso_a3,currency_code,local_price,dollar_ex,dollar_price,dollar_ppp,GDP_bigmac,dollar_valuation,euro_valuation,sterling_valuation,yen_valuation,yuan_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation,Year
Egypt,EGY,EGP,13.0,5.465,2.37877401646844,3.790087463556858,3759.88658230769,-30.648,-50.892,-35.207,-31.952,29.923,12.015,-33.333,-4.4,4.587,36.171,2010
Euro area,EUZ,EUR,3.36,0.693649638,4.84394399698368,0.9795918367346944,28952.3876562964,41.223,0.0,31.94,38.567,164.565,68.021,0.0,43.399,56.87799999999999,104.255,2010
Britain,GBR,GBP,2.29,0.623752495,3.67132800005874,0.6676384839650144,37259.6226812227,7.0360000000000005,-24.208,0.0,5.023,100.519,17.169999999999998,-30.264000000000003,0.0,9.4,42.438,2010
Hong Kong,HKG,HKD,14.8,7.75655,1.90806479684911,4.314868804664712,54962.7292824324,-44.371,-60.609,-48.028,-45.417,4.214,-47.965,-69.03099999999999,-55.591,-51.416,-36.744,2010
Hungary,HUN,HUF,720.0,186.6508,3.85747074215594,209.91253644314864,12595.1580205694,12.463,-20.365,5.07,10.348,110.686,61.406000000000006,-3.937,37.753,50.702000000000005,96.213,2010
Indonesia,IDN,IDR,20900.0,9320.0,2.24248927038627,6093.294460641411,4210.65264098517,-34.621,-53.705000000000005,-38.919,-35.851,22.479,4.926,-37.552,-10.45,-2.032,27.554,2010
Israel,ISR,ILS,14.9,3.7325,3.9919624916276,4.344023323615165,25703.8295335571,16.384,-17.589,8.733,14.195,118.031,43.336000000000006,-14.691,22.332,33.831,74.247,2010
Japan,JPN,JPY,320.0,91.54,3.49573956740223,93.29446064139948,41592.2909712188,1.917,-27.833,-4.783,0.0,90.929,7.102,-36.256,-8.591999999999999,0.0,30.2,2010
South Korea,KOR,KRW,3400.0,1140.5,2.98114861902674,991.253644314868,24661.0548149824,-13.086,-38.456,-18.799,-14.721,62.82299999999999,8.264000000000001,-35.565000000000005,-7.600999999999999,1.084,31.611,2010
Sri Lanka,LKA,LKR,210.0,114.86,1.82831272853909,61.22448979591833,,-46.696,-62.256,-50.2,-47.699000000000005,-0.142,,,,,,2010
Mexico,MEX,MXN,32.0,12.81375,2.49731733489416,9.329446064139956,12090.095084375,-27.192,-48.445,-31.978,-28.561,36.397,5.163,-37.41,-10.247,-1.81,27.842,2010
Malaysia,MYS,MYR,7.05,3.3875,2.08118081180812,2.0553935860058328,12936.3247900709,-39.324,-57.035,-43.313,-40.465,13.669,-13.292000000000002,-48.394,-25.998,-19.042,5.407,2010
Norway,NOR,NOK,40.0,5.69555,7.02302674895313,11.661807580174926,43200.35119225,104.753,44.986,91.294,100.902,283.581,112.023,26.189,80.953,97.963,157.747,2010
New Zealand,NZL,NZD,4.9,1.35685,3.61130559752368,1.42857142857143,31200.0745,5.286,-25.447,-1.635,3.306,97.241,22.388,-27.159,4.454000000000001,14.272000000000002,48.782,2010
Pakistan,PAK,PKR,200.0,82.6,2.42130750605327,58.30903790087466,1495.06622195,-29.408,-50.014,-34.048,-30.735,32.246,17.805,-29.887000000000004,0.541,9.992,43.21,2010
Peru,PER,PEN,8.056,2.8705,2.80647970736805,2.348688046647226,5483.21307224429,-18.178,-42.062,-23.557,-19.717,53.283,29.0,-23.224,10.096,20.445,56.819,2010
Philippines,PHL,PHP,101.52,45.92,2.21080139372822,29.59766763848392,3096.1391998621,-35.545,-54.359,-39.782,-36.757,20.749,5.095000000000001,-37.451,-10.305,-1.874,27.759,2010
Poland,POL,PLN,8.1,2.83565,2.85648793045686,2.361516034985421,15234.817154321,-16.72,-41.03,-22.195,-18.287,56.015,15.671,-31.156,-1.279,8.001,40.616,2010
Russia,RUS,RUB,70.0,29.927,2.3390249607378,20.408163265306165,14269.20082,-31.807,-51.712,-36.289,-33.089,27.752,-4.153,-42.955,-18.199,-10.509,16.516000000000002,2010
Saudi Arabia,SAU,SAR,10.0,3.7502,2.66652445202923,2.915451895043737,24229.003442,-22.259,-44.951,-27.369,-23.721,45.639,-2.702,-42.092,-16.96,-9.154,18.281,2010
Singapore,SGP,SGD,4.45,1.39555,3.18870696141306,1.2973760932944596,43641.6412269663,-7.034999999999999,-34.171,-13.146,-8.783000000000001,74.16,-4.119,-42.935,-18.169,-10.477,16.558,2010
Sweden,SWE,SEK,39.0,7.0821,5.50684119117211,11.370262390670554,31459.3039025641,60.549,13.685,49.996,57.53,200.77,86.136,10.782,58.86,73.792,126.277,2010
Thailand,THA,THB,70.0,33.135,2.112569790252,20.40816326530613,7077.868896,-38.409,-56.387,-42.458,-39.567,15.383,-4.995,-43.456,-18.917,-11.295,15.494,2010
Turkey,TUR,TRY,5.65,1.47455,3.83167746092028,1.6472303206997083,8419.78794690265,11.711,-20.898,4.367999999999999,9.61,109.277,69.238,0.724,44.438,58.01500000000001,105.735,2010
Taiwan,TWN,TWD,75.0,31.8425,2.35534270236319,21.865889212827955,25556.016934,-31.331,-51.376,-35.845,-32.622,28.643,-15.293,-49.585,-27.706,-20.91,2.974,2010
Ukraine,UKR,UAH,14.0,7.66,1.82767624020888,4.081632653061231,,-46.715,-62.269,-50.218,-47.717,-0.177,,,,,,2010
Uruguay,URY,UYU,77.0,23.17,3.32326283987915,22.448979591836707,,-3.112,-31.393,-9.481,-4.934,81.509,,,,,,2010
United States,USA,USD,3.43,1.0,3.43,1.0,47102.428,0.0,-29.19,-6.573,-1.881,87.33800000000001,0.0,-40.484,-14.654,-6.630999999999999,21.565,2010
South Africa,ZAF,ZAR,17.95,7.3045,2.45738928058046,5.233236151603489,10563.6368011142,-28.356,-49.269,-33.065,-29.703000000000003,34.217,5.527,-37.194,-9.937,-1.471,28.284,2010
UAE,ARE,AED,12.0,3.673,3.26708412741628,3.1496062992125973,,-14.249999999999998,-26.263,-14.55,-21.467,33.982,,,,,,2012
Argentina,ARG,ARS,20.0,4.3135,4.63660600440478,5.249343832021003,10060.3272885,21.696,4.646999999999999,21.269,11.452,90.146,72.737,29.184,59.642,53.89699999999999,87.78399999999999,2012
Australia,AUS,AUD,4.8,0.972337012,4.93656000004245,1.2598425196850382,51743.46950625,29.569000000000003,11.417,29.115,18.663,102.447,27.926,-4.329000000000001,18.228,13.974,39.07,2012
Brazil,BRA,BRL,10.25,1.805,5.6786703601108,2.69028871391076,8482.96016780488,49.046,28.166000000000004,48.524,36.501,132.881,115.122,60.882000000000005,98.814,91.659,133.86100000000002,2012
Canada,CAN,CAD,4.73,1.02095,4.63293990890837,1.241469816272966,41663.6540993658,21.599,4.564,21.173,11.364,89.996,29.599,-3.078,19.774,15.463,40.888000000000005,2012
Switzerland,CHE,CHF,6.5,0.9551,6.805570097372,1.7060367454068233,47339.0360538462,78.62400000000001,53.6,77.998,63.589,179.095,82.221,36.277,68.407,62.347,98.095,2012
Chile,CHL,CLP,2050.0,506.05,4.05098310443632,538.0577427821521,13088.4082879024,6.325,-8.57,5.953,-2.624,66.13,46.269,9.39,35.181000000000004,30.316,59.011,2012
China,CHN,CNY,15.4,6.3155,2.43844509540021,4.041994750656175,8877.36803571429,-35.998999999999995,-44.965,-36.223,-41.386,0.0,-8.013,-31.206,-14.986,-18.046,0.0,2012
Colombia,COL,COP,8400.0,1852.15,4.53526982155873,2204.724409448819,6301.88923906071,19.036,2.36,18.619,9.017,85.99,75.90299999999999,31.551,62.568,56.717,91.226,2012
Costa Rica,CRI,CRC,2050.0,509.54,4.02323664481689,538.0577427821518,,5.597,-9.196,5.226999999999999,-3.2910000000000004,64.992,,,,,,2012
Czech Republic,CZE,CZK,70.22,20.36535,3.44801341494254,18.430446194225738,21018.3429591285,-9.501,-22.179,-9.818,-17.118,41.402,15.201999999999998,-13.845,6.468999999999999,2.637,25.237,2012
Denmark,DNK,DKK,31.5,5.86135,5.37418854018272,8.267716535433067,40171.9713752381,41.055,21.294,40.561,29.182,120.394,52.123,13.767,40.59,35.531,65.374,2012
Egypt,EGY,EGP,15.5,6.037,2.56750041411297,4.0682414698162725,4402.15954064516,-32.612,-42.052,-32.848,-38.284,5.293,1.694,-23.947,-6.016,-9.398,10.552,2012
Euro area,EUZ,EUR,3.49245637,0.788239467,4.43070477464433,0.9166552152230978,32392.5777741314,16.291,0.0,15.884,6.503,81.702,33.714,0.0,23.578,19.13,45.362,2012
Britain,GBR,GBP,2.49,0.651253663,3.82339500177214,0.6535433070866136,40198.5143373494,0.352,-13.707,0.0,-8.094999999999999,56.796,8.203000000000001,-19.079,0.0,-3.599,17.628,2012
Hong Kong,HKG,HKD,16.5,7.76735,2.12427661943906,4.330708661417319,62828.2540509091,-44.245000000000005,-52.056,-44.440000000000005,-48.938,-12.884,-49.074,-61.914,-52.935,-54.628,-44.638,2012
Hungary,HUN,HUF,645.0,245.69425,2.62521406178614,169.291338582677,16881.083072093,-31.097,-40.75,-31.338,-36.896,7.659000000000001,-8.733,-31.745,-15.652,-18.688,-0.783,2012
Indonesia,IDN,IDR,22534.0,9160.0,2.46004366812227,5914.435695538056,5471.99251611032,-35.432,-44.477,-35.658,-40.867,0.886,-3.712,-27.99,-11.012,-14.214,4.675,2012
India,IND,INR,84.0,51.905,1.61834120026972,22.04724409448814,3150.82926928571,-57.524,-63.474,-57.673,-61.099,-33.632,-34.993,-51.383,-39.921,-42.083,-29.33,2012
Israel,ISR,ILS,15.9,3.8485,4.13147979732363,4.17322834645669,29534.0172566038,8.437999999999999,-6.753000000000001,8.058,-0.69,69.431,27.791,-4.43,18.103,13.852999999999998,38.923,2012
Japan,JPN,JPY,320.0,76.92,4.16016640665627,83.98950131233603,46332.7352370938,9.191,-6.106,8.808,0.0,70.607,12.242,-16.058,3.733,0.0,22.02,2012
South Korea,KOR,KRW,3700.0,1158.75,3.19309600862999,971.1286089238848,28640.8934371946,-16.192,-27.933000000000003,-16.485,-23.246,30.948,-0.459,-25.557,-8.004999999999999,-11.316,8.212,2012
Sri Lanka,LKA,LKR,290.0,113.93,2.54542262792943,76.11548556430446,,-33.190999999999995,-42.55,-33.425,-38.814,4.387,,,,,,2012
Mexico,MEX,MXN,37.0,13.6844,2.70380871649469,9.711286089238827,13501.8281610811,-29.034,-38.976,-29.283,-35.007,10.882,-2.782,-27.294,-10.152,-13.386,5.686999999999999,2012
Malaysia,MYS,MYR,7.35,3.13955,2.34109983914892,1.9291338582677144,16493.2391102041,-38.554,-47.162,-38.769,-43.726,-3.992,-18.3,-38.9,-24.494,-27.211,-11.183,2012
Norway,NOR,NOK,41.0,6.0399,6.78819185748108,10.76115485564304,52506.7906353659,78.168,53.208,77.544,63.171,178.382,74.935,30.827,61.673,55.855,90.173,2012
New Zealand,NZL,NZD,5.1,1.26000126,4.04761500000405,1.3385826771653548,35939.4857117647,6.237,-8.645999999999999,5.864,-2.705,65.99199999999999,18.576,-11.321,9.587,5.643,28.905,2012
Pakistan,PAK,PKR,260.0,90.05,2.88728484175458,68.24146981627295,1632.33488815385,-24.218,-34.835,-24.484,-30.597,18.407,18.008,-11.746,9.062,5.137,28.288000000000004,2012
Peru,PER,PEN,10.0,2.6925,3.71402042711235,2.624671916010499,6205.122591,-2.519,-16.175,-2.861,-10.724,52.31099999999999,44.203,7.843999999999999,33.271,28.475,56.765,2012
Philippines,PHL,PHP,118.0,44.005,2.68151346437905,30.971128608923912,3458.84079177966,-29.619,-39.479,-29.866,-35.543,9.968,7.340000000000001,-19.725,-0.7979999999999999,-4.367999999999999,16.689999999999998,2012
Poland,POL,PLN,9.1,3.52045,2.58489681716826,2.388451443569554,17089.698478022,-32.155,-41.659,-32.393,-37.866,6.006,-10.318,-32.93,-17.116999999999997,-20.1,-2.506,2012
Russia,RUS,RUB,81.0,31.7693,2.54963124777694,21.259842519685023,19778.711982963,-33.081,-42.455,-33.315,-38.713,4.5600000000000005,-13.808000000000002,-35.54,-20.342,-23.209,-6.3,2012
Saudi Arabia,SAU,SAR,10.0,3.7502,2.66652445202923,2.624671916010503,38528.123223,-30.012,-39.817,-30.258000000000003,-35.903,9.353,-23.518,-42.802,-29.316,-31.86,-16.855999999999998,2012
Singapore,SGP,SGD,4.85,1.2928,3.75154702970297,1.2729658792650915,53248.3879608247,-1.534,-15.328,-1.879,-9.822,53.85,-3.839,-28.085,-11.129,-14.327000000000002,4.537999999999999,2012
Sweden,SWE,SEK,41.0,6.9338,5.91306354379994,10.761154855643053,36531.4445590244,55.199,33.457,54.655,42.135,142.493,72.382,28.918,59.314,53.581,87.399,2012
Thailand,THA,THB,78.0,31.75,2.45669291338583,20.47244094488192,8179.97821807692,-35.52,-44.553,-35.746,-40.947,0.748,-6.632000000000001,-30.174,-13.711,-16.816,1.501,2012
